IF,CEP,CEP_numeros,UF,Município,latitude,longitude,Instituicao
CAMPUS SALTO,"Salto, SP. CEP: 13320-271.",13320271,SP,Salto,-23.1996,-47.2931,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS SÃO CARLOS,"São Carlos, SP. CEP: 13565-905.",13565905,SP,São Carlos,-22.0174,-47886,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS SÃO JOÃO DA BOA VISTA,"São João da Boa Vista, SP. CEP: 13872-551.",13872551,SP,São João da Boa Vista,-21.9707,-46.7944,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS SÃO JOSÉ DOS CAMPOS,"São José dos Campos, SP. CEP: 12223-900.",12223900,SP,São José dos Campos,-23.1896,-45.8841,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS SÃO PAULO,"São Paulo, SP. CEP: 01109-010.",1109010,SP,São Paulo,-23.5329,-46.6395,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS SÃO PAULO PIRITUBA,"São Paulo, SP. CEP: 02942-000.",2942000,SP,São Paulo,-23.5329,-46.6395,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS SÃO ROQUE,"São Roque, SP. CEP: 18145-090.",18145090,SP,São Roque,-23.5226,-47.1357,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS SERTÃOZINHO,"Sertãozinho, SP. CEP: 14169-263.",14169263,SP,Sertãozinho,-21.1316,-47.9875,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS SOROCABA,"Sorocaba, SP. CEP: 18095-060.",18095060,SP,Sorocaba,-23.4969,-47.4451,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS SUZANO,"Suzano, SP. CEP: 08673-010.",8673010,SP,Suzano,-23.5448,-46.3112,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
CAMPUS VOTUPORANGA,"Votuporanga, SP. CEP: 15503-110.",15503110,SP,Votuporanga,-20.4237,-49.9781,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
INPE - INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS,"São José dos Campos, SP. CEP: .",12227010,SP,São José dos Campos,-23.1896,-45.8841,INPE - INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA","Florianópolis, SC. CEP: 88075-010.",88075010,SC,Florianópolis,-27.5945,-48.5477,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS ARARANGUÁ,"Araranguá, SC. CEP: 88900-000.",88900000,SC,Araranguá,-28.9356,-49.4918,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS AVANÇADO SÃO LOURENÇO DO OESTE,"São Lourenço do Oeste, SC. CEP: 89990-000.",89990000,SC,São Lourenço do Oeste,-26.3557,-52.8498,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS CAÇADOR,"Caçador, SC. CEP: 89500-970.",89500970,SC,Caçador,-26.7757,-51012,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS CANOINHAS,"Canoinhas, SC. CEP: 89460-000.",89460000,SC,Canoinhas,-26.1766,-50395,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS CHAPECÓ,"Chapecó, SC. CEP: 89813-000.",89813000,SC,Chapecó,-27.0754,-52.9808,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS CONTINENTE,"Florianópolis, SC. CEP: 88075-010.",88075010,SC,Florianópolis,-27.5945,-48.5477,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS CRICIÚMA,"Criciúma, SC. CEP: 88813-600.",88813600,SC,Criciúma,-28.6723,-49.3729,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS FLORIANÓPOLIS,"Florianópolis, SC. CEP: 88020-300.",88020300,SC,Florianópolis,-27.5945,-48.5477,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS GAROPABA,"Garopaba, SC. CEP: 88495-000.",88495000,SC,Garopaba,-28.0275,-48.6192,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS GASPAR,"Gaspar, SC. CEP: 89110-971.",89110971,SC,Gaspar,-26.9336,-48.9534,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS ITAJAÍ,"Itajaí, SC. CEP: 88307-303.",88307303,SC,Itajaí,-26.9101,-48.6705,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS JARAGUÁ DO SUL,"Jaraguá do Sul, SC. CEP: 89251-000.",89251000,SC,Jaraguá do Sul,-26.4851,-49.0713,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS JARAGUÁ DO SUL RAU,"Jaraguá do Sul, SC. CEP: 89254-430.",89254430,SC,Jaraguá do Sul,-26.4851,-49.0713,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS JOINVILLE,"Joinville, SC. CEP: 89220-618.",89220618,SC,Joinville,-26.3045,-48.8487,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS LAGES,"Lages, SC. CEP: 88506-400.",88506400,SC,Lages,-27815,-50.3259,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS PALHOÇA,"Palhoça, SC. CEP: 88137-010.",88137010,SC,Palhoça,-27.6455,-48.6697,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS SÃO CARLOS,"São Carlos, SC. CEP: 89885-000.",89885000,SC,São Carlos,-27.0798,-53.0037,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS SÃO JOSÉ,"São José, SC. CEP: 88103-902.",88103902,SC,São José,-27.6136,-48.6366,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS SÃO MIGUEL DO OESTE,"São Miguel do Oeste, SC. CEP: 89900-970.",89900970,SC,São Miguel do Oeste,-26.7242,-53.5163,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS TUBARÃO,"Tubarão, SC. CEP: 88704-170.",88704170,SC,Tubarão,-28.4713,-49.0144,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS URUPEMA,"Urupema, SC. CEP: 88625-000.",88625000,SC,Urupema,-27.9557,-49.8729,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
CAMPUS XANXERÊ,"Xanxerê, SC. CEP: 89820-000.",89820000,SC,Xanxerê,-26.8747,-52.4036,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE","Blumenau, SC. CEP: 89051-000.",89051000,SC,Blumenau,-26.9155,-49.0709,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE"
CAMPUS ARAQUARI,"Araquari, SC. CEP: 89245-000.",89245000,SC,Araquari,-26.3754,-48.7188,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE"
CAMPUS AVANÇADO ABELARDO LUZ,"Abelardo Luz, SC. CEP: 89830-000.",89830000,SC,Abelardo Luz,-26.5716,-52.3229,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE"
CAMPUS AVANÇADO SOMBRIO,"Sombrio, SC. CEP: 88960-000.",88960000,SC,Sombrio,-29108,-49.6328,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE"
CAMPUS BLUMENAU,"Blumenau, SC. CEP: 89070-270.",89070270,SC,Blumenau,-26.9155,-49.0709,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE"
CAMPUS BRUSQUE,"Brusque, SC. CEP: 88354-300.",88354300,SC,Brusque,-27.0977,-48.9107,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE"
CAMPUS CAMBORIÚ,"Camboriú, SC. CEP: 88340-000.",88340000,SC,Camboriú,-26.9926,-48.6352,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE"
CAMPUS CONCÓRDIA,"Concórdia, SC. CEP: 89700-000.",89700000,SC,Concórdia,-27.2335,-52026,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE"
CAMPUS DE LUZERNA,"Luzerna, SC. CEP: 89609-000.",89609000,SC,Luzerna,-27.1304,-51.4682,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE"
CAMPUS FRAIBURGO,"Fraiburgo, SC. CEP: 89580-000.",89580000,SC,Fraiburgo,-27.0233,-50.92,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE"
CAMPUS IBIRAMA,"Ibirama, SC. CEP: 89140-000.",89140000,SC,Ibirama,-27.0547,-49.5193,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE"
CAMPUS RIO DO SUL,"Rio do Sul, SC. CEP: 89163-356.",89163356,SC,Rio do Sul,-27.2156,-49643,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE"
CAMPUS SÃO BENTO DO SUL,"São Bento do Sul, SC. CEP: 89283-063.",89283063,SC,São Bento do Sul,-26.2495,-49.3831,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE"
CAMPUS SÃO FRANCISCO DO SUL,"São Francisco do Sul, SC. CEP: 89240-000.",89240000,SC,São Francisco do Sul,-26.2579,-48.6344,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE"
CAMPUS VIDEIRA,"Videira, SC. CEP: 89560-000.",89560000,SC,Videira,-27.0086,-51.1543,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE"
SANTA ROSA DO SUL,"Santa Rosa do Sul, SC. CEP: 88965-000.",88965000,SC,Santa Rosa do Sul,-29.1313,-49.7109,SANTA ROSA DO SUL
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE","Aracaju, SE. CEP: 49025-330.",49025330,SE,Aracaju,-10.9091,-37.0677,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE"
CAMPUS ARACAJU,"Aracaju, SE. CEP: 49055-260.",49055260,SE,Aracaju,-10.9091,-37.0677,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE"
CAMPUS ESTÂNCIA,"Estância, SE. CEP: 49200-000.",49200000,SE,Estância,-11.2659,-37.4484,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE"
CAMPUS ITABAIANA,"Itabaiana, SE. CEP: 49500-000.",49500000,SE,Itabaiana,-10.6826,-37.4273,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE"
CAMPUS LAGARTO,"Lagarto, SE. CEP: 49400-000.",49400000,SE,Lagarto,-10.9136,-37.6689,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE"
CAMPUS NOSSA SENHORA DA GLÓRIA,"Nossa Senhora da Glória, SE. CEP: 49680-970.",49680970,SE,Nossa Senhora da Glória,-10.2158,-37.4211,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE"
CAMPUS NOSSA SENHORA DO SOCORRO,"Nossa Senhora do Socorro, SE. CEP: 49160-000.",49160000,SE,Nossa Senhora do Socorro,-10.8468,-37.1231,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE"
CAMPUS PROPRIÁ,"Propriá, SE. CEP: 49900-000.",49900000,SE,Propriá,-10.2138,-36.8442,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE"
CAMPUS SÃO CRISTÓVÃO,"São Cristóvão, SE. CEP: 49100-000.",49100000,SE,São Cristóvão,-11.0084,-37.2044,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE"
CAMPUS TOBIAS BARRETO,"Tobias Barreto, SE. CEP: 49300-000.",49300000,SE,Tobias Barreto,-11.1798,-37.9995,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE"
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE TOCANTINS","Palmas, TO. CEP: 77020-450.",77020450,TO,Palmas,-10.24,-48.3558,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE TOCANTINS"
CAMPUS ARAGUAÍNA,"Araguaína, TO. CEP: 77826-170.",77826170,TO,Araguaína,-7.19238,-48.2044,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE TOCANTINS"
CAMPUS ARAGUATINS,"Araguatins, TO. CEP: 77950-000.",77950000,TO,Araguatins,-5.64659,-48.1232,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE TOCANTINS"
CAMPUS AVANÇADO FORMOSO DO ARAGUAIA,"Formoso do Araguaia, TO. CEP: 77470-000.",77470000,TO,Formoso do Araguaia,-11.7976,-49.5316,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE TOCANTINS"
CAMPUS AVANÇADO LAGOA DA CONFUSÃO,"Lagoa da Confusão, TO. CEP: 77493-000.",77493000,TO,Lagoa da Confusão,-10.7906,-49.6199,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE TOCANTINS"
CAMPUS AVANÇADO PEDRO AFONSO,"Pedro Afonso, TO. CEP: 77710-000.",77710000,TO,Pedro Afonso,-8.97034,-48.1729,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE TOCANTINS"
CAMPUS COLINAS DO TOCANTINS,"Colinas do Tocantins, TO. CEP: 77760-000.",77760000,TO,Colinas do Tocantins,-8.05764,-48.4757,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE TOCANTINS"
CAMPUS DIANÓPOLIS,"Dianópolis, TO. CEP: 77300-000.",77300000,TO,Dianópolis,-11624,-46.8198,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE TOCANTINS"
CAMPUS GURUPI,"Gurupi, TO. CEP: 77410-470.",77410470,TO,Gurupi,-11.7279,-49068,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE TOCANTINS"
CAMPUS PALMAS,"Palmas, TO. CEP: 77021-090.",77021090,TO,Palmas,-10.24,-48.3558,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE TOCANTINS"
CAMPUS PARAÍSO DO TOCANTINS,"Paraíso do Tocantins, TO. CEP: 77600-000.",77600000,TO,Paraíso do Tocantins,-10175,-48.8823,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE TOCANTINS"
CAMPUS PORTO NACIONAL,"Porto Nacional, TO. CEP: 77500-000.",77500000,TO,Porto Nacional,-10.7027,-48408,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE TOCANTINS"
